ticker,fiscalDateEnding,current_ratio,quick_ratio,cash_ratio,working_capital_ratio,gross_profit_margin,operating_profit_margin,net_profit_margin,ebitda_margin,roa,roe,debt_to_equity,debt_to_assets,equity_ratio,interest_coverage,asset_turnover,receivables_turnover,inventory_turnover,days_inventory_outstanding,days_sales_outstanding,operating_expense_ratio,sga_ratio,rd_intensity,quality_of_earnings,depreciation_to_ppe,cost_of_revenue_ratio,tax_rate,ebit_to_revenue,intangible_asset_ratio,goodwill_ratio,tangible_asset_ratio,long_term_debt_ratio,short_term_debt_ratio,debt_composition,log_assets,share_growth,totalAssets_was_missing,totalCurrentAssets_was_missing,cashAndCashEquivalentsAtCarryingValue_was_missing,cashAndShortTermInvestments_was_missing,inventory_was_missing,currentNetReceivables_was_missing,totalNonCurrentAssets_was_missing,propertyPlantEquipment_was_missing,intangibleAssets_was_missing,intangibleAssetsExcludingGoodwill_was_missing,goodwill_was_missing,shortTermInvestments_was_missing,otherCurrentAssets_was_missing,totalLiabilities_was_missing,totalCurrentLiabilities_was_missing,currentAccountsPayable_was_missing,shortTermDebt_was_missing,totalNonCurrentLiabilities_was_missing,capitalLeaseObligations_was_missing,longTermDebt_was_missing,shortLongTermDebtTotal_was_missing,otherCurrentLiabilities_was_missing,otherNonCurrentLiabilities_was_missing,totalShareholderEquity_was_missing,retainedEarnings_was_missing,commonStock_was_missing,commonStockSharesOutstanding_was_missing,grossProfit_was_missing,totalRevenue_was_missing,costOfRevenue_was_missing,costofGoodsAndServicesSold_was_missing,operatingIncome_was_missing,sellingGeneralAndAdministrative_was_missing,researchAndDevelopment_was_missing,operatingExpenses_was_missing,netInterestIncome_was_missing,interestIncome_was_missing,interestExpense_was_missing,depreciationAndAmortization_was_missing,incomeBeforeTax_was_missing,incomeTaxExpense_was_missing,netIncomeFromContinuingOperations_was_missing,ebit_was_missing,ebitda_was_missing,netIncome_was_missing,close_price,price_date
INTC,2025-12-31,2.017038796516231,1.649089469517023,1.1849881235154394,0.1518855029347913,0.3614889571449466,0.0402223197308761,-0.0432207108380868,0.2667836770513383,-0.0027952646041933,-0.005171463322862,0.7443844558588042,0.4023525627988591,0.5405171476003765,2.1943462897526502,0.0646741932279867,3.561865069028393,0.7515062833534171,485.6912152101707,102.47440397835308,0.3212666374140705,0.0858563697528155,0.2354102676612549,-6.1725888324873095,0.0287153509021572,0.6385110428550533,1.985207100591716,0.0454146555506801,0.0131107842348968,0.1130970680464836,0.9868892157651032,0.208514442200455,0.0118195706360054,0.029376153475414,26.07715508167423,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.29999923706055,2025-12-30
INTC,2025-09-30,1.6017277146484197,1.2459980803170574,0.957828900517076,0.0950252794429721,0.3821870651138944,0.050025635391489,0.2975902732000293,0.5748187211601846,0.0198666105987854,0.0381947055726855,0.8252237346769948,0.429232228600487,0.5201404304839766,17.21985815602837,0.0667582659377842,4.263897564022486,0.7341805204978675,497.1529342027267,85.60243169999268,0.3321614297224053,0.082692448546107,0.2366512854317732,1.9315776519812944,0.0284824887907317,0.6178129348861057,0.0664626147791867,0.3556727459166484,0.0140674966016996,0.1169210909766568,0.9859325033983004,0.2154229050333962,0.0122045434542378,0.0284334275038731,26.043902269743715,-0.0669275123558484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.54999923706055,2025-09-30
INTC,2025-06-30,1.2404907624549562,0.91511754275582,0.6064748612938283,0.0436785788489507,0.2754491017964072,-0.246986546387744,-0.2269227778209814,0.0366280426160665,-0.0151568668190317,-0.0298111010083466,0.8864562794356527,0.4507012258466653,0.5084302929565759,-11.198237885462555,0.0667930604612507,5.448728813559322,0.8189329348685945,445.70194268541377,66.98810171864064,0.5224356481841512,0.0889649272882805,0.2864919511626098,-0.1614119259766963,0.0275134690895808,0.7245508982035929,-0.0920910075839653,-0.1976825569639941,0.0158788697278204,0.1242052773737793,0.9841211302721796,0.2286827342613754,0.0349626012881778,0.0775737878735493,25.98346588138132,-0.035753696755683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.399999618530273,2025-06-30
INTC,2025-03-31,1.3095667309007273,0.9278610057810656,0.6541928265058743,0.0518096981929026,0.3688323991473908,-0.0237625325649325,-0.0648140838398989,0.1884424094102786,-0.0042706588570655,-0.0082300813986126,0.8603893500140343,0.4464633118673339,0.5189084591296387,-0.959866220735786,0.065890908334287,4.134138381201044,0.6510056184349808,560.6710444027517,88.2892555459067,0.3925949317123233,0.0929186074050682,0.2873608589247651,-2.907429963459196,0.0243615790384738,0.6311676008526091,-0.5136518771331058,-0.0226572984921449,0.0185599400755298,0.1284474776583681,0.9814400599244704,0.2336170035684189,0.0272573110974708,0.0610516259073273,25.982020831982595,-0.0059510185397115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.709999084472656,2025-03-31
INTC,2024-12-31,1.3268659227275277,0.9848595300846744,0.6185723097627993,0.0593327734941598,0.3915848527349229,0.0288920056100981,-0.0088359046283309,0.244039270687237,-0.000641270325979,-0.0012692656391659,0.9212551626876196,0.4654451993790874,0.5052294068249484,4.25,0.072575514670331,4.100057504312823,0.7112641416625677,513.1708160442599,89.02314165497897,0.3626928471248247,0.0268583450210378,0.2718092566619915,-27.61904761904762,0.0245276550005096,0.6084151472650772,1.25542570951586,0.0584151472650771,0.0187851489935618,0.1256737155508054,0.981214851006438,0.2355497875155864,0.0189785479807618,0.0407750429182202,26.003851929464133,-0.0055261340087496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.81999969482422,2024-12-30
INTC,2024-09-30,1.312238687107142,0.9691686339201911,0.6850593020279303,0.0567215384774364,0.1503312255344775,-0.6817976513098465,-1.252559470039145,-0.3934056007226739,-0.085971003709789,-0.1671723666760438,0.8909496443354901,0.4581847867646299,0.5142656374327019,-42.08571428571429,0.0686362649967449,4.256328099967959,0.9357486320676504,390.0620182510853,85.7546672688949,0.832128876844324,0.1041102077687443,0.3048027702499247,0.3140813750826371,0.0346481467270355,0.8496687744655225,-0.8697996918335902,-0.6653116531165312,0.020538177759866,0.1275175414121999,0.979461822240134,0.2401080902336443,0.0194531419536844,0.0424569791831119,25.988760380126944,-0.0062514470942347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.459999084472656,2024-09-30
INTC,2024-06-30,1.5870671620819934,1.2359883848003248,0.9140100540169231,0.0911811061807424,0.354320891451726,-0.1530429361801605,-0.1254578040988077,0.066936803553339,-0.0078077641182318,-0.0139721771429067,0.7443525501392878,0.4159501466986736,0.5588079823476637,-5.816326530612245,0.0622341844281176,4.098690514212712,0.7369263607257204,495.3005068790732,89.05283254110496,0.5073638276318866,0.1035611314579599,0.3303202680589106,-0.5335403726708075,0.0248457416971314,0.6456791085482739,0.1746506986027944,-0.1332502142912802,0.0212555466647268,0.1330811571009432,0.9787444533352732,0.2343978080065953,0.0227686040590674,0.0547387811731237,26.052136656537904,-0.0058247903075488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.645597457885742,2024-07-01
INTC,2024-03-31,1.565722265093889,1.1433506044905009,0.7831183625473119,0.0798773432676293,0.410012574662056,-0.0840144608613643,-0.0299434140207481,0.1642565231059415,-0.001976828047091,-0.0035952553952421,0.7735649646608098,0.4253397186781713,0.5498435659695019,-1.7868217054263569,0.06601879283776,3.829070117363828,0.6531233687141117,558.8530704675636,95.32340458975165,0.4940270355234203,0.1222885884941842,0.3443885570575291,-5.485564304461942,0.0255294023457827,0.589987425337944,0.3922114047287899,-0.0362307450487268,0.0242563546460647,0.1423731275910197,0.9757436453539352,0.2483695060005292,0.0237686332906144,0.0558815277455871,25.98457164835369,-0.005858917272088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.060401916503906,2024-04-01
INTC,2023-12-31,1.5424018821516416,1.1457598117848358,0.8923822764053755,0.0794270561459921,0.4574191873296118,0.1677917694404777,0.1732441905751006,0.3614176294950019,0.0139320986365439,0.0252770148688322,0.7728667487451463,0.4259860522414549,0.5511765811287662,11.441947565543073,0.0804188503539139,4.528512639623751,0.7512357329019502,485.86613231247753,80.60041542256265,0.2896274178891341,0.0432948201999221,0.25879527456835,2.086174597227426,0.026001841754012,0.5425808126703882,0.0459110473457675,0.1982993638842009,0.0239544401060697,0.1440241788987952,0.9760455598939304,0.2452237278934291,0.0120059298853694,0.0281838567769921,25.978529554016948,0.0042432814710042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.58590316772461,2023-12-29
INTC,2023-09-30,1.5311036555532256,1.1303907178304329,0.8747466275249878,0.0804768133363694,0.4250600367283514,-0.0005650515609549,0.020977539200452,0.1835711258652352,0.0015727849944661,0.0029171127459165,0.8167031715006925,0.440332138299168,0.539158109904309,0.7450980392156863,0.0749747136419239,4.979950756243404,0.7099249956392814,514.1388206388207,73.29389744314169,0.4256250882893064,0.0946461364599519,0.2733436926119508,8.75084175084175,0.0262126146199331,0.5749399632716485,6.961538461538462,0.0107359796581438,0.0263189946885409,0.1461101373141916,0.9736810053114592,0.2467260123810482,0.0121162695869983,0.0275162054575411,25.964150046033573,-0.0072769953051643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.965206146240234,2023-09-29
